mage_path,label
data/raw/sid_set/00000_00000.jpg,1
data/raw/sid_set/00000_00001.jpg,1
data/raw/sid_set/00000_00002.jpg,1
data/raw/sid_set/00000_00004.jpg,0
data/raw/sid_set/00000_00006.jpg,0
data/raw/sid_set/00000_00008.jpg,0
data/raw/sid_set/00000_00011.jpg,0
data/raw/sid_set/00000_00012.jpg,0
data/raw/sid_set/00000_00013.jpg,0
data/raw/sid_set/00000_00014.jpg,1
data/raw/sid_set/00000_00015.jpg,0
data/raw/sid_set/00000_00016.jpg,1
data/raw/sid_set/00000_00018.jpg,0
data/raw/sid_set/00000_00019.jpg,1
data/raw/sid_set/00000_00021.jpg,0
data/raw/sid_set/00000_00023.jpg,0
data/raw/sid_set/00000_00024.jpg,1
data/raw/sid_set/00000_00025.jpg,1
data/raw/sid_set/00000_00027.jpg,0
data/raw/sid_set/00000_00029.jpg,0
data/raw/sid_set/00000_00030.jpg,0
data/raw/sid_set/00000_00031.jpg,0
data/raw/sid_set/00000_00032.jpg,0
data/raw/sid_set/00000_00033.jpg,0
data/raw/sid_set/00000_00034.jpg,1
data/raw/sid_set/00000_00035.jpg,1
data/raw/sid_set/00000_00036.jpg,1
data/raw/sid_set/00000_00038.jpg,1
data/raw/sid_set/00000_00041.jpg,0
data/raw/sid_set/00000_00042.jpg,1
data/raw/sid_set/00000_00043.jpg,1
data/raw/sid_set/00000_00044.jpg,0
data/raw/sid_set/00000_00050.jpg,0
data/raw/sid_set/00000_00051.jpg,1
data/raw/sid_set/00000_00055.jpg,1
data/raw/sid_set/00000_00057.jpg,1
data/raw/sid_set/00000_00058.jpg,0
data/raw/sid_set/00000_00060.jpg,1
data/raw/sid_set/00000_00061.jpg,0
data/raw/sid_set/00000_00064.jpg,0
data/raw/sid_set/00000_00065.jpg,0
data/raw/sid_set/00000_00066.jpg,1
data/raw/sid_set/00000_00067.jpg,1
data/raw/sid_set/00000_00068.jpg,0
data/raw/sid_set/00000_00069.jpg,1
data/raw/sid_set/00000_00074.jpg,0
data/raw/sid_set/00000_00075.jpg,0
data/raw/sid_set/00000_00077.jpg,0
data/raw/sid_set/00000_00080.jpg,0
data/raw/sid_set/00000_00081.jpg,0
data/raw/sid_set/00000_00082.jpg,1
data/raw/sid_set/00000_00084.jpg,1
data/raw/sid_set/00000_00089.jpg,0
data/raw/sid_set/00000_00090.jpg,0
data/raw/sid_set/00000_00091.jpg,0
data/raw/sid_set/00000_00092.jpg,0
data/raw/sid_set/00000_00094.jpg,0
data/raw/sid_set/00000_00095.jpg,1
data/raw/sid_set/00000_00098.jpg,1
data/raw/sid_set/00000_00101.jpg,1
data/raw/sid_set/00000_00102.jpg,1
data/raw/sid_set/00000_00104.jpg,0
data/raw/sid_set/00000_00105.jpg,0
data/raw/sid_set/00000_00106.jpg,0
data/raw/sid_set/00000_00107.jpg,0
data/raw/sid_set/00000_00108.jpg,1
data/raw/sid_set/00000_00109.jpg,1
data/raw/sid_set/00000_00110.jpg,0
data/raw/sid_set/00000_00111.jpg,1
data/raw/sid_set/00000_00112.jpg,1
data/raw/sid_set/00000_00113.jpg,1
data/raw/sid_set/00000_00114.jpg,1
data/raw/sid_set/00000_00115.jpg,0
data/raw/sid_set/00000_00117.jpg,1
data/raw/sid_set/00000_00118.jpg,0
data/raw/sid_set/00000_00120.jpg,1
data/raw/sid_set/00000_00122.jpg,0
data/raw/sid_set/00000_00123.jpg,0
data/raw/sid_set/00000_00124.jpg,1
